CG,Angle_1,Angle_2,Angle_3,Angle_4,Angle_5,Angle_6
4.699999999999999,"[ -53.40182212  -13.30720249   30.29628645 -126.59817788 -166.69279751
  149.70371355]"
4.715,"[ -53.56019767  -13.66674137   30.04914219 -126.43980233 -166.33325863
  149.95085781]"
4.73,"[ -53.71739617  -14.02518639   29.80075835 -126.28260383 -165.97481361
  150.19924165]"
4.745,"[ -53.87342838  -14.3825146    29.55113497 -126.12657162 -165.6174854
  150.44886503]"
4.76,"[ -54.02830493  -14.73870357   29.30027231 -125.97169507 -165.26129643
  150.69972769]"
4.775,"[ -54.18203638  -15.09373132   29.04817079 -125.81796362 -164.90626868
  150.95182921]"
4.79,"[ -54.33463318  -15.4475764    28.79483107 -125.66536682 -164.5524236
  151.20516893]"
4.805,"[ -54.48610573  -15.80021786   28.54025396 -125.51389427 -164.19978214
  151.45974604]"
4.82,"[ -54.63646429  -16.15163525   28.28444051 -125.36353571 -163.84836475
  151.71555949]"
4.835,"[ -54.78571906  -16.50180862   28.02739196 -125.21428094 -163.49819138
  151.97260804]"
4.85,"[ -54.93388016  -16.85071856   27.76910977 -125.06611984 -163.14928144
  152.23089023]"
4.865,"[ -55.08095759  -17.19834614   27.50959561 -124.91904241 -162.80165386
  152.49040439]"
4.88,"[ -55.22696129  -17.54467299   27.24885136 -124.77303871 -162.45532701
  152.75114864]"
4.895,"[ -55.3719011   -17.88968122   26.98687915 -124.6280989  -162.11031878
  153.01312085]"
4.91,"[ -55.51578677  -18.23335347   26.72368129 -124.48421323 -161.76664653
  153.27631871]"
4.925,"[ -55.65862796  -18.5756729    26.45926037 -124.34137204 -161.4243271
  153.54073963]"
4.9399999999999995,"[ -55.80043424  -18.91662319   26.19361916 -124.19956576 -161.08337681
  153.80638084]"
4.955,"[ -55.94121511  -19.25618854   25.92676072 -124.05878489 -160.74381146
  154.07323928]"
4.97,"[ -56.08097997  -19.59435366   25.6586883  -123.91902003 -160.40564634
  154.3413117 ]"
4.984999999999999,"[ -56.21973813  -19.93110378   25.38940542 -123.78026187 -160.06889622
  154.61059458]"
5.0,"[ -56.35749881  -20.26642465   25.11891584 -123.64250119 -159.73357535
  154.88108416]"
5.015,"[ -56.49427116  -20.60030252   24.84722358 -123.50572884 -159.39969748
  155.15277642]"
5.029999999999999,"[ -56.63006423  -20.93272416   24.57433289 -123.36993577 -159.06727584
  155.42566711]"
5.045,"[ -56.764887    -21.26367685   24.30024828 -123.235113   -158.73632315
  155.69975172]"
5.0600000000000005,"[ -56.89874835  -21.59314836   24.02497453 -123.10125165 -158.40685164
  155.97502547]"
5.074999999999999,"[ -57.03165707  -21.92112696   23.74851668 -122.96834293 -158.07887304
  156.25148332]"
5.09,"[ -57.1636219   -22.24760145   23.47088002 -122.8363781  -157.75239855
  156.52911998]"
5.105,"[ -57.29465146  -22.57256108   23.19207012 -122.70534854 -157.42743892
  156.80792988]"
5.12,"[ -57.42475431  -22.89599562   22.91209281 -122.57524569 -157.10400438
  157.08790719]"
5.135,"[ -57.55393891  -23.21789531   22.63095421 -122.44606109 -156.78210469
  157.36904579]"
5.15,"[ -57.68221365  -23.53825087   22.34866069 -122.31778635 -156.46174913
  157.65133931]"
5.165,"[ -57.80958684  -23.8570535    22.06521891 -122.19041316 -156.1429465
  157.93478109]"
5.18,"[ -57.93606671  -24.17429488   21.78063581 -122.06393329 -155.82570512
  158.21936419]"
5.195,"[ -58.06166139  -24.48996712   21.49491861 -121.93833861 -155.51003288
  158.50508139]"
5.21,"[ -58.18637896  -24.80406284   21.20807481 -121.81362104 -155.19593716
  158.79192519]"
5.225,"[ -58.31022739  -25.11657505   20.92011219 -121.68977261 -154.88342495
  159.07988781]"
5.24,"[ -58.43321461  -25.42749727   20.63103883 -121.56678539 -154.57250273
  159.36896117]"
5.255,"[ -58.55534844  -25.73682342   20.3408631  -121.44465156 -154.26317658
  159.6591369 ]"
5.27,"[ -58.67663662  -26.04454787   20.04959364 -121.32336338 -153.95545213
  159.95040636]"
5.285,"[ -58.79708685  -26.3506654    19.75723939 -121.20291315 -153.6493346
  160.24276061]"
5.3,"[ -58.91670672  -26.65517124   19.46380961 -121.08329328 -153.34482876
  160.53619039]"
5.3149999999999995,"[ -59.03550375  -26.95806101   19.1693138  -120.96449625 -153.04193899
  160.8306862 ]"
5.33,"[ -59.1534854   -27.25933075   18.87376181 -120.8465146  -152.74066925
  161.12623819]"
5.345,"[ -59.27065904  -27.5589769    18.57716375 -120.72934096 -152.4410231
  161.42283625]"
5.359999999999999,"[ -59.38703197  -27.85699629   18.27953004 -120.61296803 -152.14300371
  161.72046996]"
5.375,"[ -59.50261142  -28.15338613   17.98087139 -120.49738858 -151.84661387
  162.01912861]"
5.39,"[ -59.61740456  -28.44814402   17.6811988  -120.38259544 -151.55185598
  162.3188012 ]"
5.404999999999999,"[ -59.73141845  -28.74126793   17.3805236  -120.26858155 -151.25873207
  162.6194764 ]"
